loan_id,payment_amount,payment_date,missed
10633,382,2013-02-01,1
10633,537,2013-02-23,0
10633,463,2013-03-20,0
10633,376,2013-04-08,1
10718,1580,2010-07-27,1
10718,1524,2010-09-09,1
10718,1280,2010-10-11,0
10718,1010,2010-11-18,0
10718,1115,2011-01-06,1
10718,1643,2011-01-30,1
10718,1779,2011-03-09,1
10718,1237,2011-04-03,1
10718,1873,2011-05-14,0
11738,612,2010-11-24,0
11738,830,2010-12-25,1
11738,787,2011-02-11,1
11738,647,2011-03-14,0
11738,929,2011-03-25,0
10832,1500,2004-02-11,0
10832,2363,2004-03-29,1
10832,1786,2004-04-25,0
10832,2284,2004-06-04,0
10832,1756,2004-07-23,1
10832,2345,2004-08-15,0
11712,1160,2010-10-23,0
11712,2088,2010-11-27,1
11712,1619,2010-12-12,1
11712,1979,2011-01-17,0
11712,1908,2011-02-14,1
10373,238,2003-07-06,0
10373,230,2003-08-04,0
10373,206,2003-08-16,1
10373,237,2003-09-18,1
10373,178,2003-09-28,0
10373,179,2003-10-17,0
10373,161,2003-11-03,0
11267,637,2008-05-13,0
11267,460,2008-06-18,0
11267,486,2008-08-02,1
11267,356,2008-08-15,0
11267,499,2008-09-05,1
11267,390,2008-10-15,0
11036,1056,2000-12-22,0
11036,1090,2001-01-23,1
11036,988,2001-02-24,1
11036,657,2001-03-15,0
11036,854,2001-04-05,0
11036,1146,2001-05-05,0
11036,596,2001-06-02,0
10117,2334,2012-03-03,1
10117,1742,2012-04-20,1
10117,2333,2012-05-05,1
10117,1752,2012-05-24,0
10117,1592,2012-06-03,1
10117,2075,2012-07-11,0
10117,2169,2012-08-13,0
10117,2411,2012-09-24,1
10751,2647,2009-08-25,0
10751,2178,2009-10-05,1
10751,2548,2009-11-01,1
10751,1891,2009-12-06,1
10751,1508,2009-12-19,1
10751,2853,2010-01-18,1
10751,2141,2010-02-23,1
10751,1742,2010-03-15,0
10751,2101,2010-04-06,1
10585,1311,2005-11-28,1
10585,2139,2006-01-09,1
10585,1973,2006-01-28,0
10585,1187,2006-03-04,0
10585,1489,2006-04-11,0
10585,2175,2006-05-06,0
10585,2247,2006-05-30,0
10585,1461,2006-06-23,1
10117,1906,2014-03-01,0
10117,2007,2014-04-10,1
10117,2204,2014-04-24,1
10117,1681,2014-05-22,1
10117,1932,2014-07-06,0
10117,1757,2014-08-17,1
10117,2048,2014-09-10,0
10808,158,2003-06-29,0
10808,175,2003-07-14,1
10808,230,2003-08-04,1
10808,206,2003-09-10,1
10808,164,2003-09-20,1
10808,164,2003-10-07,1
11190,1358,2002-04-28,1
11190,1538,2002-06-12,0
11190,1906,2002-07-09,1
11190,1343,2002-08-17,0
11190,1935,2002-09-13,0
11190,1824,2002-10-09,0
11190,1897,2002-10-31,1
11190,1860,2002-12-12,0
10752,1572,2004-08-24,1
10752,1410,2004-09-15,1
10752,1603,2004-11-02,1
10752,1804,2004-12-03,1
10752,1648,2005-01-01,0
10887,1961,2000-10-15,0
10887,1841,2000-11-17,1
10887,1045,2000-12-08,0
10887,1179,2001-01-13,0
10887,1116,2001-02-12,1
10887,1380,2001-03-15,0
11013,1190,2014-08-03,1
11013,702,2014-08-17,0
11013,998,2014-09-13,1
11013,681,2014-10-31,1
11013,920,2014-11-12,0
11013,645,2014-12-05,0
11013,760,2015-01-06,0
11013,851,2015-01-18,1
11275,628,2004-02-11,0
11275,629,2004-03-15,0
11275,560,2004-04-14,0
11275,465,2004-04-26,1
11275,560,2004-05-21,1
11275,474,2004-06-03,0
11270,751,2002-02-16,0
11270,758,2002-03-01,0
11270,743,2002-04-16,0
11270,706,2002-05-13,1
11270,453,2002-06-14,0
11270,749,2002-07-09,1
11270,809,2002-07-31,0
11270,842,2002-08-11,0
11682,272,2012-11-03,0
11682,455,2012-12-13,1
11682,498,2013-01-21,1
11682,274,2013-02-12,1
11682,264,2013-03-02,0
11682,351,2013-04-11,0
11682,322,2013-05-15,0
11682,341,2013-06-13,0
11491,1785,2014-10-28,0
11491,1716,2014-12-01,0
11491,1676,2014-12-31,1
11491,1880,2015-01-31,0
11491,1641,2015-03-10,0
10863,1722,2012-02-21,1
10863,1458,2012-03-27,0
10863,2125,2012-05-04,0
10863,2001,2012-05-29,1
10863,2081,2012-07-06,1
10863,2578,2012-07-16,1
10863,2039,2012-08-01,0
10863,1710,2012-08-17,1
11060,91,2013-05-27,1
11060,90,2013-07-06,0
11060,118,2013-07-19,0
11060,123,2013-08-21,1
11060,127,2013-10-03,0
11060,135,2013-11-10,0
11060,103,2013-12-28,0
10739,203,2014-06-23,0
10739,251,2014-07-18,1
10739,252,2014-08-09,0
10739,270,2014-08-21,0
10739,246,2014-09-20,1
10739,307,2014-10-09,1
10739,330,2014-11-01,0
10739,215,2014-12-01,0
10428,518,2002-02-09,1
10428,337,2002-03-01,1
10428,474,2002-03-26,0
10428,436,2002-05-06,1
10428,621,2002-05-27,1
10428,647,2002-07-14,0
10428,545,2002-08-28,1
10428,442,2002-10-09,1
10395,1085,2014-01-03,0
10395,941,2014-01-29,0
10395,1360,2014-02-14,0
10395,1199,2014-03-04,0
10395,1715,2014-03-14,0
10395,1661,2014-04-03,1
10395,1816,2014-04-29,1
10395,1794,2014-06-09,1
10395,1216,2014-07-14,0
10887,207,2014-02-08,1
10887,144,2014-03-03,1
10887,173,2014-04-12,0
10887,164,2014-05-29,1
10887,221,2014-07-01,1
10887,122,2014-07-25,1
10887,184,2014-09-01,1
10887,146,2014-10-06,0
10887,197,2014-11-05,1
11387,501,2002-06-16,1
11387,911,2002-07-04,1
11387,754,2002-08-11,1
11387,882,2002-09-08,1
11387,881,2002-10-05,0
11387,617,2002-11-02,0
11387,537,2002-12-19,1
10675,882,2013-06-29,0
10675,721,2013-07-24,0
10675,751,2013-08-22,0
10675,870,2013-09-16,0
10675,608,2013-09-27,1
10675,697,2013-10-08,0
10675,640,2013-11-12,1
10675,867,2013-12-06,1
10675,594,2013-12-27,0
10181,251,2010-10-01,1
10181,286,2010-11-16,1
10181,145,2010-12-24,0
10181,175,2011-01-23,1
10181,234,2011-03-01,0
10181,207,2011-04-01,0
11741,800,2009-08-24,0
11741,612,2009-09-04,1
11741,1039,2009-10-19,1
11741,848,2009-12-03,1
11741,951,2010-01-10,1
11741,1109,2010-02-10,0
11911,973,2010-06-02,0
11911,847,2010-06-12,1
11911,1246,2010-07-23,0
11911,1052,2010-08-27,0
11911,927,2010-09-29,1
11911,797,2010-10-10,0
11911,753,2010-11-18,1
11911,1104,2010-12-05,0
11911,1158,2011-01-05,1
11325,433,2015-01-11,1
11325,570,2015-02-17,1
11325,312,2015-03-12,1
11325,581,2015-03-24,1
11325,595,2015-04-13,0
11325,564,2015-05-27,0
11325,486,2015-06-11,1
11325,431,2015-06-21,1
11325,422,2015-07-28,0
10621,2491,2000-10-10,0
10621,2160,2000-11-12,1
10621,2470,2000-12-18,1
10621,2387,2001-01-02,0
10621,1349,2001-01-12,0
10621,1626,2001-02-05,0
10621,2384,2001-02-19,1
10621,2145,2001-04-07,1
10175,114,2007-02-10,1
10175,104,2007-03-18,0
10175,149,2007-04-14,1
10175,206,2007-04-29,0
10175,128,2007-05-25,1
10175,120,2007-06-16,1
10373,2379,2012-06-07,0
10373,2142,2012-07-03,1
10373,1940,2012-07-30,1
10373,2394,2012-09-02,0
10373,1796,2012-09-17,0
10373,1540,2012-09-28,0
10373,1301,2012-10-19,1
10373,1931,2012-11-24,0
10373,2221,2013-01-09,0
11507,1642,2013-03-26,0
11507,1551,2013-05-11,1
11507,2497,2013-05-25,0
11507,1541,2013-06-12,0
11507,1930,2013-06-28,1
11507,2344,2013-07-23,1
11507,1643,2013-09-05,1
11507,2513,2013-10-23,1
10204,997,2015-03-02,0
10204,1151,2015-04-14,1
10204,831,2015-05-13,1
10204,1234,2015-05-31,1
10204,1485,2015-06-16,0
10204,1288,2015-08-02,1
10070,581,2014-10-03,1
10070,839,2014-11-09,0
10070,579,2014-12-23,1
10070,944,2015-01-04,1
10070,798,2015-02-08,1
10070,738,2015-03-25,0
11895,1173,2006-10-12,0
11895,1559,2006-11-02,1
11895,1276,2006-12-17,0
11895,1142,2006-12-28,1
11895,1302,2007-01-29,0
11041,877,2008-12-03,0
11041,1236,2008-12-18,0
11041,1091,2009-01-04,1
11041,958,2009-01-28,0
11041,811,2009-02-14,0
11041,1302,2009-02-27,1
11041,900,2009-03-18,0
11041,1011,2009-04-23,1
11771,1470,2012-06-15,0
11771,1085,2012-06-30,0
11771,1422,2012-08-12,1
11771,1213,2012-09-29,1
11771,1099,2012-10-30,0
11771,1122,2012-12-09,1
11771,1402,2013-01-03,0
11771,1116,2013-02-08,0
11257,628,2012-01-29,0
11257,1034,2012-02-13,0
11257,972,2012-02-29,0
11257,668,2012-03-29,1
11257,869,2012-05-12,1
11257,674,2012-06-12,1
11257,1076,2012-07-29,0
11257,555,2012-09-15,0
10420,1589,2008-07-25,0
10420,2063,2008-09-08,1
10420,1436,2008-10-07,1
10420,1499,2008-11-24,0
10420,1872,2008-12-21,1
10420,1142,2009-02-01,0
10160,188,2002-01-13,1
10160,206,2002-02-07,0
10160,263,2002-02-22,1
10160,182,2002-03-23,0
10160,265,2002-05-02,0
10160,248,2002-05-22,1
10160,235,2002-06-28,0
10160,151,2002-08-16,0
10160,264,2002-09-18,0
10537,121,2012-10-07,1
10537,92,2012-10-22,1
10537,146,2012-12-09,0
10537,90,2013-01-09,1
10537,109,2013-02-07,1
10537,137,2013-03-18,1
10537,162,2013-04-30,1
10537,144,2013-05-30,1
10537,105,2013-07-08,0
11540,1061,2012-03-16,0
11540,1567,2012-03-26,0
11540,997,2012-04-14,0
11540,1387,2012-06-01,0
11540,995,2012-06-14,1
11540,920,2012-08-01,1
11540,1303,2012-09-16,0
11540,1339,2012-10-27,0
11540,1447,2012-12-14,1
11200,501,2013-06-28,0
11200,475,2013-07-31,0
11200,487,2013-08-17,1
11200,342,2013-08-29,0
11200,359,2013-10-03,1
11200,386,2013-11-01,1
11200,348,2013-12-16,1
11200,311,2013-12-26,0
11200,305,2014-02-07,1
10994,930,2008-05-24,0
10994,858,2008-06-20,0
10994,1079,2008-07-17,0
10994,989,2008-08-12,1
10994,744,2008-09-24,0
11065,117,2010-09-17,1
11065,71,2010-10-03,0
11065,80,2010-10-17,1
11065,72,2010-10-31,1
11065,120,2010-12-11,1
11065,109,2011-01-02,1
11065,94,2011-02-19,1
10108,462,2013-12-27,1
10108,728,2014-01-19,1
10108,415,2014-01-29,0
10108,689,2014-02-20,0
10108,418,2014-03-12,1
11081,947,2003-12-04,1
11081,533,2004-01-11,1
11081,918,2004-01-30,1
11081,785,2004-02-16,1
11081,710,2004-03-17,0
11081,970,2004-04-27,0
11081,659,2004-06-15,1
11117,2314,2010-08-20,1
11117,1897,2010-09-03,1
11117,1965,2010-09-26,0
11117,2167,2010-10-20,1
11117,1672,2010-11-25,0
11117,1937,2011-01-05,0
11117,2383,2011-01-31,0
11782,2778,2001-10-31,0
11782,2527,2001-12-04,0
11782,2359,2001-12-16,0
11782,2005,2002-01-05,0
11782,1614,2002-01-16,0
11782,1414,2002-02-24,1
10393,902,2014-05-16,1
10393,1565,2014-06-24,0
10393,1553,2014-07-20,1
10393,1432,2014-08-13,0
10393,804,2014-09-12,1
10393,1201,2014-10-12,1
10393,812,2014-11-09,0
11351,899,2008-05-01,0
11351,1544,2008-06-04,1
11351,878,2008-07-11,1
11351,927,2008-08-12,0
11351,1037,2008-09-13,1
11351,921,2008-09-28,0
11351,984,2008-10-19,0
11208,595,2011-11-18,1
11208,580,2012-01-06,0
11208,656,2012-02-20,1
11208,709,2012-04-07,1
11208,642,2012-04-21,1
11208,446,2012-05-30,1
11208,757,2012-07-17,0
11208,762,2012-08-17,0
10770,1532,2010-06-08,0
10770,1817,2010-06-24,0
10770,2277,2010-07-30,1
10770,1839,2010-08-27,1
10770,1926,2010-09-07,1
10770,2389,2010-10-05,1
10770,2003,2010-10-24,0
10770,2240,2010-12-10,1
10770,2801,2011-01-01,1
10552,83,2001-04-19,1
10552,69,2001-05-14,0
10552,79,2001-06-13,1
10552,114,2001-07-02,1
10552,67,2001-07-17,0
10552,84,2001-08-24,0
10552,97,2001-09-16,0
10552,110,2001-10-25,1
10841,1225,2007-04-11,0
10841,1913,2007-04-22,0
10841,1656,2007-05-12,0
10841,2152,2007-06-01,1
10841,1280,2007-06-15,1
10782,490,2003-11-26,0
10782,611,2003-12-29,1
10782,669,2004-01-19,1
10782,701,2004-03-05,1
10782,738,2004-03-28,0
11311,306,2014-07-26,0
11311,400,2014-08-10,0
11311,456,2014-09-03,1
11311,294,2014-09-24,0
11311,380,2014-10-25,0
11311,306,2014-11-28,1
11278,1174,2011-06-03,1
11278,1735,2011-07-18,1
11278,1224,2011-08-22,1
11278,1679,2011-09-07,1
11278,1274,2011-10-06,1
11278,1034,2011-11-11,0
11754,265,2001-07-03,1
11754,189,2001-08-19,1
11754,223,2001-09-07,1
11754,166,2001-09-28,1
11754,209,2001-10-27,0
11754,320,2001-11-08,0
11754,300,2001-12-10,0
11754,179,2001-12-20,1
11754,223,2002-01-01,0
10690,1442,2004-12-11,0
10690,1475,2005-01-10,0
10690,1557,2005-02-06,0
10690,869,2005-03-08,0
10690,1570,2005-04-20,0
11533,653,2004-11-08,0
11533,606,2004-12-06,1
11533,909,2005-01-17,0
11533,497,2005-02-01,0
11533,787,2005-03-18,0
11533,530,2005-04-18,0
11533,690,2005-05-16,0
11897,1000,2014-11-17,0
11897,664,2014-12-07,0
11897,1031,2014-12-29,0
11897,1043,2015-01-11,0
11897,804,2015-02-02,1
11897,878,2015-03-17,0
11897,1087,2015-05-01,0
11897,1103,2015-05-26,0
10080,1660,2014-10-26,1
10080,1489,2014-11-12,1
10080,2329,2014-11-22,1
10080,1793,2014-12-14,1
10080,2507,2015-01-02,0
10080,2471,2015-02-10,0
11147,180,2000-08-26,1
11147,202,2000-09-22,0
11147,265,2000-10-02,1
11147,168,2000-11-14,0
11147,185,2000-12-29,1
11147,212,2001-01-31,0
10421,213,2003-10-29,1
10421,149,2003-12-13,0
10421,205,2004-01-29,1
10421,248,2004-02-21,0
10421,259,2004-04-04,1
10312,172,2014-11-04,1
10312,249,2014-12-02,0
10312,188,2014-12-17,1
10312,259,2015-01-22,0
10312,204,2015-03-02,1
10312,240,2015-04-17,1
10312,217,2015-06-01,1
10312,292,2015-07-18,1
11905,1157,2008-11-06,1
11905,1131,2008-11-17,1
11905,1703,2008-12-06,1
11905,1670,2009-01-03,0
11905,1591,2009-01-14,1
11905,1992,2009-02-12,1
11442,545,2001-01-01,0
11442,434,2001-02-11,0
11442,323,2001-04-01,0
11442,493,2001-04-16,0
11442,503,2001-05-22,1
10743,198,2009-11-13,1
10743,134,2009-12-31,1
10743,236,2010-01-20,1
10743,183,2010-02-01,1
10743,206,2010-03-03,1
11548,2119,2005-07-31,0
11548,2739,2005-08-31,1
11548,2770,2005-10-14,1
11548,2667,2005-11-06,0
11548,1800,2005-12-25,1
11548,2090,2006-02-03,0
11548,1833,2006-03-11,0
11548,2679,2006-04-25,1
11970,615,2012-10-27,1
11970,860,2012-11-15,0
11970,646,2012-12-19,1
11970,794,2013-02-02,0
11970,953,2013-02-22,1
11970,796,2013-03-19,0
11970,701,2013-05-06,1
10513,386,2009-08-18,1
10513,438,2009-10-05,1
10513,410,2009-11-13,0
10513,398,2009-11-29,1
10513,463,2009-12-19,0
10513,508,2010-01-14,1
11318,682,2014-07-19,0
11318,575,2014-08-09,0
11318,1004,2014-09-26,0
11318,685,2014-10-29,0
11318,1031,2014-12-01,1
11318,666,2014-12-30,0
11318,642,2015-02-16,1
11318,806,2015-03-05,1
11318,803,2015-04-01,0
11292,1773,2008-03-15,0
11292,2104,2008-03-25,1
11292,1686,2008-04-05,1
11292,1422,2008-04-20,1
11292,2094,2008-05-17,0
11292,1958,2008-06-07,0
11292,1489,2008-07-09,0
11292,1097,2008-08-10,0
11292,1795,2008-09-16,0
11616,631,2013-09-10,0
11616,880,2013-09-26,0
11616,939,2013-11-01,1
11616,686,2013-11-15,0
11616,719,2013-12-16,0
11986,1884,2008-04-09,1
11986,1374,2008-05-24,1
11986,1876,2008-06-17,0
11986,1403,2008-08-01,1
11986,1539,2008-08-31,0
11986,1043,2008-09-22,1
11986,1179,2008-10-18,1
11986,1390,2008-11-05,1
10996,1091,2001-06-26,0
10996,1204,2001-08-14,1
10996,1110,2001-09-29,1
10996,1064,2001-10-21,0
10996,1641,2001-11-18,0
10996,1028,2001-12-20,0
10996,1194,2002-02-03,1
10996,927,2002-02-22,1
10104,330,2012-12-29,1
10104,314,2013-01-08,0
10104,322,2013-01-27,0
10104,277,2013-02-13,1
10104,196,2013-03-07,0
10104,343,2013-03-25,0
10104,248,2013-04-06,0
10104,224,2013-04-16,1
10104,315,2013-05-31,1
11534,1104,2011-06-30,0
11534,1074,2011-07-22,0
11534,1214,2011-08-02,0
11534,917,2011-09-18,1
11534,904,2011-10-06,1
11534,897,2011-10-16,1
11534,755,2011-11-25,1
11534,929,2012-01-05,0
10685,1600,2007-04-13,1
10685,1113,2007-05-18,0
10685,1134,2007-07-01,1
10685,1088,2007-07-20,1
10685,911,2007-08-06,0
10685,1769,2007-08-17,1
10685,1633,2007-09-27,1
10685,975,2007-11-07,0
10685,1525,2007-12-21,0
10802,409,2010-08-11,1
10802,666,2010-09-25,0
10802,358,2010-10-05,1
10802,556,2010-10-18,1
10802,655,2010-11-08,1
10802,645,2010-11-24,0
10802,638,2010-12-16,0
11459,1594,2004-10-01,0
11459,1363,2004-11-09,1
11459,2391,2004-11-28,0
11459,1513,2004-12-26,1
11459,2148,2005-01-11,0
11459,2401,2005-02-06,0
11459,1399,2005-03-17,0
11776,159,2009-09-04,1
11776,103,2009-10-02,0
11776,96,2009-10-14,1
11776,131,2009-11-17,0
11776,182,2009-12-21,1
11776,104,2010-01-04,1
11776,120,2010-01-15,1
10589,887,2000-11-23,1
10589,681,2000-12-15,0
10589,753,2001-01-12,0
10589,538,2001-03-01,1
10589,743,2001-03-15,0
10589,658,2001-03-29,0
10589,949,2001-04-22,0
10589,609,2001-05-02,0
10589,822,2001-05-30,0
11816,80,2012-10-04,0
11816,91,2012-11-21,1
11816,76,2012-12-06,0
11816,141,2013-01-13,0
11816,121,2013-02-10,0
11816,86,2013-03-30,0
11299,2022,2004-07-23,0
11299,1894,2004-08-12,1
11299,1305,2004-09-10,0
11299,1421,2004-10-07,1
11299,2189,2004-11-05,1
11299,1836,2004-11-26,1
11299,1969,2004-12-13,1
11554,2023,2001-12-31,1
11554,1460,2002-01-17,1
11554,1744,2002-02-02,0
11554,2421,2002-03-15,0
11554,2105,2002-05-01,1
11554,1986,2002-06-07,0
11489,821,2001-12-26,0
11489,760,2002-02-12,1
11489,570,2002-03-24,0
11489,563,2002-05-09,0
11489,850,2002-05-23,0
11489,901,2002-07-10,1
10242,1014,2002-08-20,1
10242,1101,2002-09-09,1
10242,1736,2002-10-19,0
10242,1684,2002-11-08,0
10242,1030,2002-12-07,1
10242,1847,2003-01-05,1
11528,596,2006-05-13,0
11528,801,2006-06-12,0
11528,590,2006-06-24,0
11528,528,2006-07-25,1
11528,758,2006-08-10,0
11295,1104,2009-03-18,1
11295,876,2009-04-15,0
11295,825,2009-04-26,0
11295,955,2009-05-14,0
11295,678,2009-06-03,0
11295,1157,2009-07-13,0
11295,614,2009-08-08,1
11295,854,2009-09-12,1
11942,1249,2000-11-21,0
11942,1666,2000-12-23,1
11942,1902,2001-01-24,0
11942,1842,2001-03-11,0
11942,2218,2001-04-13,1
11874,854,2010-02-28,1
11874,1202,2010-03-13,1
11874,1200,2010-03-28,0
11874,1108,2010-04-29,0
11874,872,2010-05-18,0
11295,668,2000-09-24,0
11295,708,2000-11-05,0
11295,841,2000-12-01,1
11295,726,2001-01-06,1
11295,474,2001-01-26,0
11943,311,2002-10-27,0
11943,306,2002-12-03,0
11943,458,2003-01-20,1
11943,330,2003-02-10,0
11943,443,2003-03-30,1
11943,448,2003-05-10,0
11943,462,2003-05-27,0
11375,1938,2012-02-04,1
11375,2003,2012-03-09,0
11375,2930,2012-04-24,1
11375,1713,2012-05-31,0
11375,1919,2012-07-04,0
10897,945,2003-05-13,1
10897,752,2003-05-26,1
10897,1022,2003-07-01,1
10897,877,2003-07-30,0
10897,710,2003-08-12,1
10897,1181,2003-09-15,0
10897,1138,2003-10-31,0
10240,700,2009-01-05,0
10240,715,2009-02-19,0
10240,373,2009-04-03,1
10240,674,2009-05-05,0
10240,652,2009-06-02,1
10240,611,2009-07-11,0
10240,462,2009-08-10,1
10240,730,2009-09-05,1
11227,404,2008-11-06,1
11227,399,2008-12-12,0
11227,343,2009-01-16,0
11227,343,2009-01-29,0
11227,440,2009-03-16,1
11227,336,2009-04-02,1
11227,478,2009-04-16,0
11227,409,2009-05-31,0
11227,337,2009-06-10,0
10868,865,2006-02-11,1
10868,803,2006-03-07,0
10868,1000,2006-04-25,1
10868,796,2006-06-03,0
10868,803,2006-06-23,0
10868,798,2006-07-10,0
10868,622,2006-08-24,1
11143,1832,2007-10-08,1
11143,2197,2007-11-22,0
11143,2329,2007-12-19,1
11143,2064,2008-01-05,0
